raw_feature_name,feature,feature_group,coefficient_log_scale,absolute_coefficient,approx_percent_effect
categorical_most_frequent__RoofMatl_ClyTile,RoofMatl_ClyTile,categorical_most_frequent,-0.10488528111599427,0.10488528111599427,-9.957218726470826
categorical_most_frequent__Neighborhood_StoneBr,Neighborhood_StoneBr,categorical_most_frequent,0.09285853728022157,0.09285853728022157,9.730649632667852
categorical_most_frequent__Neighborhood_Crawfor,Neighborhood_Crawfor,categorical_most_frequent,0.08571108454822521,0.08571108454822521,8.949151189729157
categorical_most_frequent__Condition2_PosN,Condition2_PosN,categorical_most_frequent,-0.08215146392473155,0.08215146392473155,-7.88675702031965
numeric_median__OverallQual,OverallQual,numeric_median,0.07330226043825623,0.07330226043825623,7.60557368432975
categorical_most_frequent__Exterior1st_BrkFace,Exterior1st_BrkFace,categorical_most_frequent,0.0726465628090964,0.0726465628090964,7.535040091662393
categorical_none__PoolQC_Gd,PoolQC_Gd,categorical_none,-0.07237431977936472,0.07237431977936472,-6.981735512573316
categorical_most_frequent__Neighborhood_NridgHt,Neighborhood_NridgHt,categorical_most_frequent,0.06779041256434526,0.06779041256434526,7.014099686582548
categorical_most_frequent__Functional_Typ,Functional_Typ,categorical_most_frequent,0.06695712629503019,0.06695712629503019,6.9249634498494546
categorical_most_frequent__Neighborhood_MeadowV,Neighborhood_MeadowV,categorical_most_frequent,-0.06471586883724686,0.06471586883724686,-6.266624872609565
categorical_most_frequent__Functional_Maj2,Functional_Maj2,categorical_most_frequent,-0.06341633811815732,0.06341633811815732,-6.144736290402719
categorical_most_frequent__Neighborhood_Edwards,Neighborhood_Edwards,categorical_most_frequent,-0.0615408359501459,0.0615408359501459,-5.968545368253932
numeric_median__GrLivArea,GrLivArea,numeric_median,0.05883731279938584,0.05883731279938584,6.060268022283653
categorical_most_frequent__MSZoning_C (all),MSZoning_C (all),categorical_most_frequent,-0.05762613236841839,0.05762613236841839,-5.599718643380936
categorical_most_frequent__LandContour_Bnk,LandContour_Bnk,categorical_most_frequent,-0.057107869737394505,0.057107869737394505,-5.550781825228948
categorical_most_frequent__SaleCondition_Alloca,SaleCondition_Alloca,categorical_most_frequent,0.04964660298826669,0.04964660298826669,5.089964595064417
categorical_most_frequent__Heating_Grav,Heating_Grav,categorical_most_frequent,-0.049317151730192646,0.049317151730192646,-4.812080831162378
categorical_none__BsmtQual_Ex,BsmtQual_Ex,categorical_none,0.04905787117086865,0.04905787117086865,5.028112998006148
categorical_most_frequent__BldgType_Twnhs,BldgType_Twnhs,categorical_most_frequent,-0.04896702716536279,0.04896702716536279,-4.778747367294585
categorical_most_frequent__BldgType_2fmCon,BldgType_2fmCon,categorical_most_frequent,0.04576522551295388,0.04576522551295388,4.682861345382601
categorical_most_frequent__SaleCondition_Abnorml,SaleCondition_Abnorml,categorical_most_frequent,-0.04498917343525787,0.04498917343525787,-4.399216794224113
categorical_most_frequent__LotShape_IR3,LotShape_IR3,categorical_most_frequent,-0.044814102792364495,0.044814102792364495,-4.38247843849257
categorical_most_frequent__Condition1_Norm,Condition1_Norm,categorical_most_frequent,0.0429439604489597,0.0429439604489597,4.387939467884819
categorical_none__BsmtExposure_Gd,BsmtExposure_Gd,categorical_none,0.04179457710408403,0.04179457710408403,4.268026634962267
numeric_zero__GarageCars,GarageCars,numeric_zero,0.04166168108251202,0.04166168108251202,4.254170749761717
categorical_most_frequent__Neighborhood_NoRidge,Neighborhood_NoRidge,categorical_most_frequent,0.041137288434560396,0.041137288434560396,4.199514960901644
